county,dem_votes,rep_votes,total_votes,year,office,state
Grand,2806.0,2248.0,5185.0,2020,pres,UT
Iron,4892.0,18989.0,24890.0,2020,pres,UT
Juab,645.0,5087.0,5866.0,2020,pres,UT
Kane,1083.0,2998.0,4180.0,2020,pres,UT
Millard,624.0,5404.0,6160.0,2020,pres,UT
Morgan,1086.0,5181.0,6512.0,2020,pres,UT
Piute,86.0,773.0,871.0,2020,pres,UT
Rich,180.0,1157.0,1363.0,2020,pres,UT
Salt Lake,289906.0,230174.0,541175.0,2020,pres,UT
San Juan,3113.0,3535.0,6878.0,2020,pres,UT
Sanpete,1794.0,10459.0,12631.0,2020,pres,UT
Sevier,1084.0,9052.0,10363.0,2020,pres,UT
Summit,15244.0,10252.0,26088.0,2020,pres,UT
Tooele,8943.0,21014.0,31518.0,2020,pres,UT
Uintah,1663.0,13261.0,15307.0,2020,pres,UT
Utah,76033.0,192812.0,284480.0,2020,pres,UT
Wasatch,6187.0,10795.0,17581.0,2020,pres,UT
Washington,20530.0,67294.0,90476.0,2020,pres,UT
Wayne,365.0,1229.0,1621.0,2020,pres,UT
Weber,40695.0,65949.0,111442.0,2020,pres,UT
Beaver,419.0,1971.0,2447.0,2022,sen,UT
Box Elder,4725.0,14434.0,19898.0,2022,sen,UT
Cache,15580.0,24588.0,41982.0,2022,sen,UT
Carbon,2114.0,4265.0,6728.0,2022,sen,UT
Daggett,109.0,377.0,498.0,2022,sen,UT
Davis,52806.0,66385.0,123742.0,2022,sen,UT
Duchesne,912.0,5170.0,6281.0,2022,sen,UT
Emery,712.0,3269.0,4107.0,2022,sen,UT
Garfield,520.0,1795.0,2385.0,2022,sen,UT
Grand,2421.0,1901.0,4643.0,2022,sen,UT
Iron,3755.0,12923.0,17309.0,2022,sen,UT
Juab,714.0,3886.0,4731.0,2022,sen,UT
Kane,946.0,2553.0,3659.0,2022,sen,UT
Millard,701.0,4279.0,5130.0,2022,sen,UT
Morgan,1358.0,3665.0,5157.0,2022,sen,UT
Piute,82.0,692.0,783.0,2022,sen,UT
Rich,206.0,844.0,1073.0,2022,sen,UT
Salt Lake,218495.0,144931.0,381108.0,2022,sen,UT
San Juan,1815.0,3118.0,5560.0,2022,sen,UT
Sanpete,1912.0,7829.0,10004.0,2022,sen,UT
Sevier,1152.0,6411.0,7775.0,2022,sen,UT
Summit,12325.0,7305.0,20354.0,2022,sen,UT
Tooele,7487.0,13371.0,22069.0,2022,sen,UT
Uintah,1559.0,8905.0,10833.0,2022,sen,UT
Utah,72238.0,127096.0,206045.0,2022,sen,UT
Wasatch,5429.0,7528.0,13464.0,2022,sen,UT
